ID,DOMAIN,ROSTER_PATTERN_ID,PREFERENCE_1,PREFERENCE_2,PREFERENCE_3,PREFERENCE_4,PREFERENCE_5
Employee_0,Area_0,RP_65,RP_65,RP_55,RP_17,RP_56,RP_80
Employee_1,Area_0,RP_24,RP_24,RP_22,RP_19,RP_96,
Employee_2,Area_0,RP_28,RP_28,,,,
Employee_3,Area_0,RP_50,RP_50,,,,
Employee_4,Area_0,RP_79,RP_79,,,,
Employee_5,Area_0,RP_15,RP_15,RP_40,,,
Employee_6,Area_0,RP_5,RP_5,RP_11,RP_58,RP_14,RP_32
Employee_7,Area_0,RP_73,RP_73,RP_59,RP_99,RP_61,RP_30
Employee_8,Area_0,RP_51,RP_51,,,,
Employee_9,Area_0,RP_22,RP_22,RP_63,RP_11,RP_82,
Employee_10,Area_0,RP_94,RP_94,RP_83,RP_6,,
Employee_11,Area_0,RP_80,RP_80,RP_92,RP_10,RP_40,RP_91
Employee_12,Area_0,RP_18,RP_18,RP_26,RP_36,RP_87,RP_63
Employee_13,Area_0,RP_2,RP_2,RP_12,,,
Employee_14,Area_0,RP_24,RP_24,,,,
Employee_15,Area_0,RP_79,RP_79,RP_35,,,
Employee_16,Area_0,RP_90,RP_90,RP_59,,,
Employee_17,Area_0,RP_83,RP_83,RP_37,RP_13,RP_5,
Employee_18,Area_0,RP_90,RP_90,,,,
Employee_19,Area_0,RP_70,RP_70,RP_75,RP_0,,
Employee_20,Area_0,RP_59,RP_59,,,,
Employee_21,Area_0,RP_49,RP_49,RP_1,RP_41,RP_58,RP_72
Employee_22,Area_0,RP_43,RP_43,RP_65,RP_35,,
Employee_23,Area_0,RP_70,RP_70,,,,
Employee_24,Area_0,RP_99,RP_99,RP_10,RP_98,,
Employee_25,Area_0,RP_58,RP_58,RP_24,,,
Employee_26,Area_0,RP_77,RP_77,RP_61,RP_84,RP_51,
Employee_27,Area_0,RP_84,RP_84,,,,
Employee_28,Area_0,RP_2,RP_2,RP_31,RP_1,RP_4,RP_97
Employee_29,Area_0,RP_27,RP_27,RP_38,RP_89,RP_58,RP_4
Employee_30,Area_0,RP_25,RP_25,,,,
Employee_31,Area_0,RP_12,RP_12,RP_19,RP_69,,
Employee_32,Area_0,RP_71,RP_71,RP_63,,,
Employee_33,Area_0,RP_61,RP_61,RP_84,RP_74,,
Employee_34,Area_0,RP_0,RP_0,RP_69,,,
Employee_35,Area_0,RP_83,RP_83,,,,
Employee_36,Area_0,RP_70,RP_70,,,,
Employee_37,Area_0,RP_2,RP_2,RP_6,RP_19,RP_32,
Employee_38,Area_0,RP_7,RP_7,,,,
Employee_39,Area_0,RP_52,RP_52,,,,
Employee_40,Area_0,RP_37,RP_37,RP_26,RP_87,RP_83,RP_21
Employee_41,Area_0,RP_8,RP_8,RP_47,RP_51,RP_42,
Employee_42,Area_0,RP_92,RP_92,,,,
Employee_43,Area_0,RP_72,RP_72,RP_13,RP_75,,
Employee_44,Area_0,RP_14,RP_14,RP_2,RP_19,RP_0,RP_9
Employee_45,Area_0,RP_5,RP_5,RP_31,RP_3,RP_13,RP_19
Employee_46,Area_0,RP_67,RP_67,RP_8,RP_47,,
Employee_47,Area_0,RP_67,RP_67,RP_85,RP_55,RP_65,RP_99
Employee_48,Area_0,RP_7,RP_7,RP_22,,,
Employee_49,Area_0,RP_97,RP_97,RP_22,RP_63,RP_58,
Employee_50,Area_0,RP_44,RP_44,RP_86,,,
Employee_51,Area_0,RP_57,RP_57,RP_0,,,
Employee_52,Area_0,RP_55,RP_55,RP_84,,,
Employee_53,Area_0,RP_47,RP_47,,,,
Employee_54,Area_0,RP_32,RP_32,RP_0,RP_24,RP_96,RP_34
Employee_55,Area_0,RP_39,RP_39,,,,
Employee_56,Area_0,RP_65,RP_65,RP_99,RP_84,RP_20,
Employee_57,Area_0,RP_97,RP_97,RP_11,RP_49,RP_58,RP_2
Employee_58,Area_0,RP_0,RP_0,RP_53,RP_32,,
Employee_59,Area_0,RP_86,RP_86,RP_44,RP_39,RP_80,
